ValidDate,Sum
2014-12-02,82
2014-12-03,232
2014-12-04,351
2014-12-05,163
2014-12-08,337
2014-12-09,169
2014-12-10,109
2014-12-11,122
2014-12-12,110
2014-12-15,121
2014-12-16,136
2014-12-17,253
2014-12-18,587
2014-12-19,638
2014-12-22,627
2014-12-23,1612
2014-12-24,3801
2014-12-26,1689
2014-12-29,4068
2014-12-30,1498
2014-12-31,2045
2015-01-02,2174
2015-01-05,3381
2015-01-06,3312
2015-01-07,6191
2015-01-08,2157
2015-01-09,5897
2015-01-12,2322
2015-01-13,2967
2015-01-14,1915
2015-01-15,3453
2015-01-16,1699
2015-01-20,2032
2015-01-21,1200
2015-01-22,2163
2015-01-23,860
2015-01-26,1520
2015-01-27,1154
2015-01-28,883
2015-01-29,837
2015-01-30,1114
2015-02-02,284
2015-02-03,1120
2015-02-04,285
2015-02-05,902
2015-02-06,929
2015-02-09,855
2015-02-10,461
2015-02-11,619
2015-02-12,619
2015-02-13,183
2015-02-17,1403
2015-02-18,330
2015-02-19,435
2015-02-20,952
2015-02-23,360
2015-02-24,610
2015-02-25,118
2015-02-26,295
2015-02-27,569
2015-03-02,362
2015-03-03,206
2015-03-04,353
2015-03-05,204
2015-03-06,129
2015-03-09,561
2015-03-10,368
2015-03-11,113
2015-03-12,268
2015-03-13,258
2015-03-16,102
2015-03-17,378
2015-03-18,178
2015-03-19,57
2015-03-20,324
2015-03-23,312
2015-03-24,105
2015-03-25,217
2015-03-26,308
2015-03-27,160
2015-03-30,229
2015-03-31,179
2015-04-01,154
2015-04-02,237
2015-04-03,176
2015-04-06,241
2015-04-07,145
2015-04-08,59
2015-04-09,114
2015-04-10,116
2015-04-13,267
2015-04-14,187
2015-04-15,73
2015-04-16,215
2015-04-17,180
2015-04-20,262
2015-04-21,996
2015-04-22,665
2015-04-23,943
2015-04-24,551
2015-04-27,581
2015-04-28,269
2015-04-29,423
2015-04-30,553
2015-05-01,238
2015-05-04,415
2015-05-05,166
2015-05-06,230
2015-05-07,426
2015-05-08,155
2015-05-11,323
2015-05-12,170
2015-05-13,138
2015-05-14,153
2015-05-15,83
2015-05-18,74
2015-05-19,0
2015-05-20,364
2015-05-21,199
2015-05-22,94
2015-05-26,88
2015-05-27,138
2015-05-28,100
2015-05-29,82
2015-06-01,145
2015-06-02,98
2015-06-03,102
2015-06-04,172
2015-06-05,106
2015-06-08,102
2015-06-09,88
2015-06-10,98
2015-06-11,129
2015-06-12,60
2015-06-15,0
2015-06-16,62
2015-06-17,195
2015-06-18,126
2015-06-19,56
2015-06-22,69
2015-06-23,99
2015-06-24,40
2015-06-25,83
2015-06-26,50
2015-06-29,92
2015-06-30,64
2015-07-01,54
2015-07-02,32
2015-07-06,103
2015-07-07,105
2015-07-08,84
2015-07-09,125
2015-07-10,44
2015-07-13,47
2015-07-14,82
2015-07-15,40
2015-07-16,74
2015-07-17,69
2015-07-20,72
2015-07-21,75
2015-07-22,66
2015-07-23,21
2015-07-24,56
2015-07-27,174
2015-07-28,68
2015-07-29,51
2015-07-30,79
2015-07-31,25
2015-08-03,27
2015-08-04,72
2015-08-05,57
2015-08-06,102
2015-08-07,40
2015-08-10,3
2015-08-11,75
2015-08-12,81
2015-08-13,40
2015-08-14,78
2015-08-17,24
2015-08-18,94
2015-08-19,51
2015-08-20,68
2015-08-21,74
2015-08-24,43
2015-08-25,44
2015-08-26,78
2015-08-27,80
2015-08-28,91
2015-08-31,38
2015-09-01,44
2015-09-02,59
2015-09-03,122
2015-09-04,6
2015-09-08,28
2015-09-09,128
2015-09-10,100
2015-09-11,16
2015-09-14,78
2015-09-15,45
2015-09-16,52
2015-09-17,63
2015-09-18,42
2015-09-21,51
2015-09-22,58
2015-09-23,40
2015-09-24,61
2015-09-25,20
2015-09-28,85
2015-09-29,30
2015-09-30,37
2015-10-01,6
2015-10-02,118
2015-10-05,46
2015-10-06,29
2015-10-07,24
2015-10-08,40
2015-10-09,59
2015-10-13,5
2015-10-14,42
2015-10-15,65
2015-10-16,43
2015-10-19,29
2015-10-20,57
2015-10-21,64
2015-10-22,119
2015-10-23,7
2015-10-26,60
2015-10-27,37
2015-10-28,48
2015-10-29,6
2015-10-30,52
2015-11-02,22
2015-11-03,0
2015-11-04,34
2015-11-05,10
2015-11-06,32
2015-11-09,16
2015-11-10,13
2015-11-12,11
2015-11-13,7
2015-11-16,6
2015-11-17,9
2015-11-18,1
2015-11-19,0
2015-11-20,171
2015-11-23,124
2015-11-24,151
2015-11-25,171
2015-11-27,198
2015-11-30,3940
2015-12-01,3847
2015-12-02,3304
2015-12-03,683
2015-12-04,5988
2015-12-07,3153
2015-12-08,2460
2015-12-09,559
2015-12-10,5134
2015-12-11,3250
2015-12-14,1816
2015-12-15,2187
2015-12-16,378
2015-12-17,3643
2015-12-18,1558
2015-12-21,1068
2015-12-22,1853
2015-12-23,879
2015-12-24,872
2015-12-28,797
2015-12-29,598
2015-12-30,517
2015-12-31,1083
2016-01-04,236
2016-01-05,2784
2016-01-06,231
2016-01-07,2385
2016-01-08,1392
2016-01-11,1332
2016-01-12,211
2016-01-13,1936
2016-01-14,611
2016-01-15,173
2016-01-19,1086
2016-01-20,663
2016-01-21,219
2016-01-22,797
2016-01-25,1138
2016-01-26,225
2016-01-27,474
2016-01-28,992
2016-01-29,77
2016-02-01,510
2016-02-02,456
2016-02-03,180
2016-02-04,760
2016-02-05,310
2016-02-08,350
2016-02-09,232
2016-02-10,599
2016-02-11,425
2016-02-12,109
2016-02-16,477
2016-02-17,139
2016-02-18,615
2016-02-19,158
2016-02-22,216
2016-02-23,458
2016-02-24,146
2016-02-25,471
2016-02-26,75
2016-02-29,191
2016-03-01,96
2016-03-02,232
2016-03-03,382
2016-03-04,114
2016-03-07,205
2016-03-08,275
2016-03-09,494
2016-03-10,291
2016-03-11,120
2016-03-14,241
2016-03-15,131
2016-03-16,227
2016-03-17,266
2016-03-18,103
2016-03-21,282
2016-03-22,121
2016-03-23,162
2016-03-24,113
2016-03-25,65
2016-03-28,96
2016-03-29,131
2016-03-30,420
2016-03-31,231
2016-04-01,64
2016-04-04,159
2016-04-05,89
2016-04-06,346
2016-04-07,78
2016-04-08,426
2016-04-11,117
2016-04-12,83
2016-04-13,62
2016-04-14,428
2016-04-15,107
2016-04-18,71
2016-04-19,182
2016-04-20,52
2016-04-21,178
2016-04-22,141
2016-04-25,58
2016-04-26,0
2016-04-27,209
2016-04-28,188
2016-04-29,58
2016-05-02,186
2016-05-03,91
2016-05-04,46
2016-05-05,274
2016-05-06,58
2016-05-09,244
2016-05-10,147
2016-05-11,36
2016-05-12,65
2016-05-13,156
2016-05-16,141
2016-05-17,105
2016-05-18,77
2016-05-19,31
2016-05-20,152
2016-05-23,86
2016-05-24,36
2016-05-25,135
2016-05-26,320
2016-05-27,149
2016-05-31,260
2016-06-01,293
2016-06-02,138
2016-06-03,142
2016-06-06,1115
2016-06-07,260
2016-06-08,122
2016-06-09,368
2016-06-10,233
2016-06-13,87
2016-06-14,0
2016-06-15,355
2016-06-16,158
2016-06-17,93
2016-06-20,237
2016-06-21,34
2016-06-22,140
2016-06-23,191
2016-06-24,93
2016-06-27,106
2016-06-28,72
2016-06-29,142
2016-06-30,144
2016-07-01,92
2016-07-05,15
2016-07-06,65
2016-07-07,270
2016-07-08,34
2016-07-11,124
2016-07-12,117
2016-07-13,84
2016-07-14,151
2016-07-15,64
2016-07-18,107
2016-07-19,60
2016-07-20,83
2016-07-21,129
2016-07-22,102
2016-07-25,87
2016-07-26,47
2016-07-27,29
2016-07-28,24
2016-07-29,145
2016-08-01,31
2016-08-02,83
2016-08-03,15
2016-08-04,141
2016-08-05,54
2016-08-08,70
2016-08-09,27
2016-08-10,82
2016-08-11,52
2016-08-12,132
2016-08-15,56
2016-08-16,39
2016-08-17,60
2016-08-18,93
2016-08-19,40
2016-08-22,77
2016-08-23,29
2016-08-24,53
2016-08-25,69
2016-08-26,8
2016-08-29,78
2016-08-30,43
2016-08-31,51
2016-09-01,48
2016-09-02,7
2016-09-06,164
2016-09-07,26
2016-09-08,97
2016-09-09,32
2016-09-12,26
2016-09-13,103
2016-09-14,38
2016-09-15,9
2016-09-16,80
2016-09-19,14
2016-09-20,57
2016-09-21,21
2016-09-22,74
2016-09-23,21
2016-09-26,17
2016-09-27,30
2016-09-28,17
2016-09-29,60
2016-09-30,20
2016-10-03,53
2016-10-04,70
2016-10-05,39
2016-10-06,22
2016-10-07,20
2016-10-11,83
2016-10-12,22
2016-10-13,46
2016-10-14,25
2016-10-17,8
2016-10-18,55
2016-10-19,25
2016-10-20,22
2016-10-21,63
2016-10-24,30
2016-10-25,5
2016-10-26,19
2016-10-27,68
2016-10-28,6
2016-10-31,52
2016-11-01,28
2016-11-02,9
2016-11-03,5
2016-11-04,180
2016-11-07,31
2016-11-08,0
2016-11-09,28
2016-11-10,8
2016-11-14,5
2016-11-15,7
2016-11-16,8
2016-11-17,5
2016-11-18,3
2016-11-21,2
2016-11-22,2
2016-11-23,1
2016-11-25,2
2016-11-28,1
2016-11-29,0
2016-11-30,278
2016-12-01,229
2016-12-02,196
2016-12-05,1930
2016-12-06,486
2016-12-07,1917
2016-12-08,2364
2016-12-09,4312
2016-12-12,3228
2016-12-13,3157
2016-12-14,3202
2016-12-15,4222
2016-12-16,2957
2016-12-19,1070
2016-12-20,983
2016-12-21,2389
2016-12-22,2443
2016-12-23,1077
2016-12-26,0
2016-12-27,678
2016-12-28,1421
2016-12-29,1748
2016-12-30,537
2017-01-03,2647
2017-01-04,646
2017-01-05,2529
2017-01-06,1919
2017-01-09,1634
2017-01-10,962
2017-01-11,1126
2017-01-12,754
2017-01-13,950
2017-01-17,330
2017-01-18,1494
2017-01-19,905
2017-01-20,1128
2017-01-23,562
2017-01-24,1046
2017-01-25,519
2017-01-26,1111
2017-01-27,309
2017-01-30,634
2017-01-31,231
2017-02-01,436
2017-02-02,634
2017-02-03,760
2017-02-06,215
2017-02-07,199
2017-02-08,241
2017-02-09,447
2017-02-10,240
2017-02-13,302
2017-02-14,548
2017-02-15,336
2017-02-16,296
2017-02-17,181
2017-02-21,324
2017-02-22,278
2017-02-23,531
2017-02-24,320
2017-02-27,176
2017-02-28,369
2017-03-01,220
2017-03-02,351
2017-03-03,281
2017-03-06,273
2017-03-07,208
2017-03-08,270
2017-03-09,293
2017-03-10,99
2017-03-13,132
