ValidDate,Sum
2017-11-27,169
2017-11-28,2241
2017-11-29,1712
2017-11-30,4212
2017-12-01,427
2017-12-04,6237
2017-12-05,3157
2017-12-06,3296
2017-12-07,1599
2017-12-08,2306
2017-12-11,1494
2017-12-12,3788
2017-12-13,1409
2017-12-14,1259
2017-12-15,2096
2017-12-18,501
2017-12-19,1051
2017-12-20,1949
2017-12-21,947
2017-12-22,1240
2017-12-26,251
2017-12-27,354
2017-12-28,1040
2017-12-29,634
2018-01-02,1495
2018-01-03,776
2018-01-04,1461
2018-01-05,1670
2018-01-08,178
2018-01-09,1575
2018-01-10,830
2018-01-11,2232
2018-01-12,817
2018-01-16,660
2018-01-17,423
2018-01-18,457
2018-01-19,837
2018-01-22,585
2018-01-23,587
2018-01-24,234
2018-01-25,454
2018-01-26,200
2018-01-29,894
2018-01-30,301
2018-01-31,377
2018-02-01,435
2018-02-02,171
2018-02-05,563
2018-02-06,227
2018-02-07,176
2018-02-08,587
2018-02-09,241
2018-02-12,131
2018-02-13,544
2018-02-14,348
2018-02-15,352
2018-02-16,113
2018-02-20,392
2018-02-21,286
2018-02-22,409
2018-02-23,162
2018-02-26,328
2018-02-27,276
2018-02-28,245
2018-03-01,87
2018-03-02,79
2018-03-05,674
2018-03-06,193
2018-03-07,230
2018-03-08,286
2018-03-09,215
2018-03-12,218
2018-03-13,203
2018-03-14,182
2018-03-15,80
2018-03-16,378
2018-03-19,161
2018-03-20,179
2018-03-21,109
2018-03-22,267
2018-03-23,112
2018-03-26,131
2018-03-27,114
2018-03-28,196
2018-03-29,208
2018-03-30,106
2018-04-02,118
2018-04-03,165
2018-04-04,191
2018-04-05,340
2018-04-06,198
2018-04-09,236
2018-04-10,190
2018-04-11,208
2018-04-12,398
2018-04-13,370
2018-04-16,426
2018-04-17,918
2018-04-18,998
2018-04-19,942
2018-04-20,331
2018-04-23,472
2018-04-24,507
2018-04-25,345
2018-04-26,339
2018-04-27,341
2018-04-30,383
2018-05-01,604
2018-05-02,417
2018-05-03,203
2018-05-04,206
2018-05-07,843
2018-05-08,402
2018-05-09,166
2018-05-10,436
2018-05-11,170
2018-05-14,198
2018-05-15,0
2018-05-16,201
2018-05-17,503
2018-05-18,298
2018-05-21,213
2018-05-22,175
2018-05-23,117
2018-05-24,219
2018-05-25,117
2018-05-29,127
2018-05-30,126
2018-05-31,174
2018-06-01,54
2018-06-04,208
2018-06-05,116
2018-06-06,115
2018-06-07,138
2018-06-08,83
2018-06-11,108
2018-06-12,83
2018-06-13,30
2018-06-14,0
2018-06-15,75
2018-06-18,250
2018-06-19,71
2018-06-20,80
2018-06-21,30
2018-06-22,122
2018-06-25,74
2018-06-26,69
2018-06-27,43
2018-06-28,127
2018-06-29,50
2018-07-02,77
2018-07-03,67
2018-07-05,54
2018-07-06,101
2018-07-09,80
2018-07-10,53
2018-07-11,81
2018-07-12,92
2018-07-13,73
2018-07-16,52
2018-07-17,48
2018-07-18,46
2018-07-19,97
2018-07-20,13
2018-07-23,106
2018-07-24,33
2018-07-25,105
2018-07-26,15
2018-07-27,121
2018-07-30,70
2018-07-31,62
2018-08-01,59
2018-08-02,92
2018-08-03,35
2018-08-06,51
2018-08-07,59
2018-08-08,49
2018-08-09,19
2018-08-10,99
2018-08-13,57
2018-08-14,56
2018-08-15,48
2018-08-16,64
2018-08-17,32
2018-08-20,41
2018-08-21,31
2018-08-22,26
2018-08-23,57
2018-08-24,91
2018-08-27,34
2018-08-28,36
2018-08-29,46
2018-08-30,47
2018-08-31,32
2018-09-04,56
2018-09-05,31
2018-09-06,12
2018-09-07,121
2018-09-10,27
2018-09-11,63
2018-09-12,24
2018-09-13,25
2018-09-14,51
2018-09-17,37
2018-09-18,38
2018-09-19,23
2018-09-20,67
2018-09-21,27
2018-09-24,17
2018-09-25,45
2018-09-26,52
2018-09-27,47
2018-09-28,21
2018-10-01,30
2018-10-02,23
2018-10-03,40
2018-10-04,55
2018-10-05,34
2018-10-08,0
2018-10-09,24
2018-10-10,33
2018-10-11,62
2018-10-12,28
2018-10-15,30
2018-10-16,24
2018-10-17,19
2018-10-18,9
2018-10-19,43
2018-10-22,2
2018-10-23,25
2018-10-24,18
2018-10-25,8
2018-10-26,14
2018-10-29,24
2018-10-30,20
2018-10-31,10
2018-11-01,13
2018-11-02,7
2018-11-05,16
2018-11-06,0
2018-11-07,12
2018-11-08,13
2018-11-09,20
2018-11-13,10
2018-11-14,10
2018-11-15,11
2018-11-16,4
2018-11-19,17
2018-11-20,5
2018-11-21,6
2018-11-23,1
